axis_id,threshold_method,ert_threshold,silhouette,balance,coherence,n_I,n_II,n_III,n_IV,n_total,n_empty_quads,has_all_quads,composite
sd_x_abscma__product_species_znorm,mean,2.337311630789803e-17,0.47140247195959883,0.9113120463360942,1,22,20,9,6,57,0,TRUE,0.792818876769883
gini_x_abscma__product_species_znorm,gmm,0.15981623470025252,0.48489165198412026,0.8899149938380798,1,27,15,9,6,57,0,TRUE,0.792190826653962
gini_x_abscma__product,otsu,0.07299072120000002,0.4758368760556284,0.9022136644250758,1,25,17,9,6,57,0,TRUE,0.7920963227257388
cma__lutz_species,mean,-0.009129975190501505,0.4732723095493006,0.9056138009417821,1,17,25,8,7,57,0,TRUE,0.7920487585777007
abs_cma__lutz_species,mean,-0.009129975190501505,0.4732723095493006,0.9056138009417821,1,17,25,8,7,57,0,TRUE,0.7920487585777007
neg_median__species_znorm,mean,5.843279076974508e-18,0.4831127135867597,0.8918283794529875,1,23,19,11,4,57,0,TRUE,0.7920465446186128
neg_median__species_znorm,otsu,0.08646582909417463,0.4831127135867597,0.8918283794529875,1,23,19,11,4,57,0,TRUE,0.7920465446186128
neg_median__species_znorm,gmm,-0.08956499713753013,0.4831127135867597,0.8918283794529875,1,23,19,11,4,57,0,TRUE,0.7920465446186128
median__species_znorm,mean,-5.843279076974508e-18,0.4831127135867597,0.8918283794529875,1,19,23,4,11,57,0,TRUE,0.7920465446186128
median__species_znorm,otsu,-0.08646582909417463,0.4831127135867597,0.8918283794529875,1,19,23,4,11,57,0,TRUE,0.7920465446186128
median__species_znorm,gmm,0.08824412545190896,0.4831127135867597,0.8918283794529875,1,19,23,4,11,57,0,TRUE,0.7920465446186128
negmean_x_abscma__product,otsu,-99.17969747999996,0.4698047604971663,0.9095007284679221,1,19,23,9,6,57,0,TRUE,0.7918068482909887
cma__lutz_species,otsu,-0.041041212121212096,0.4761802557066975,0.900103628783497,1,16,26,8,7,57,0,TRUE,0.7916889966932183
abs_cma__lutz_species,otsu,-0.041041212121212096,0.4761802557066975,0.900103628783497,1,16,26,8,7,57,0,TRUE,0.7916889966932183
PC3__pca_raw,median,-5.535578480471204e-4,0.46512342083811664,0.9147121828528005,1,22,20,8,7,57,0,TRUE,0.7914712430065409
PC3__pca_raw,mean,2.1814908554038165e-16,0.46512342083811664,0.9147121828528005,1,22,20,8,7,57,0,TRUE,0.7914712430065409
PC3__pca_raw,otsu,-5.535578480471204e-4,0.46512342083811664,0.9147121828528005,1,22,20,8,7,57,0,TRUE,0.7914712430065409
